timestamp,frame_differencing,background_subtraction,contour_detection,ssim,mean
2025-03-16 01:03:25,24.89,3.92,25.75,21.49,19.01
2025-03-16 01:03:25,,,,,
2025-03-16 01:03:26,25.98,4.34,27.18,21.51,19.75
2025-03-16 01:03:27,21.44,3.11,21.42,21.6,16.89
2025-03-16 01:03:28,19.47,2.58,19.67,20.99,15.68
2025-03-16 01:03:28,,,,,
2025-03-16 01:03:29,21.79,3.0,22.15,21.21,17.03
2025-03-16 01:03:30,23.07,3.34,24.24,21.77,18.1
2025-03-16 01:03:31,23.25,3.49,24.2,21.42,18.09
2025-03-16 01:03:32,32.14,7.2,33.48,24.9,24.43
2025-03-16 01:03:33,40.1,9.65,43.55,25.04,29.59
2025-03-16 01:03:34,38.8,16.16,41.4,28.04,31.1
2025-03-16 01:03:35,,,,,
2025-03-16 01:03:35,,,,,
2025-03-16 01:03:35,31.55,11.87,33.57,24.93,25.48
2025-03-16 01:03:36,38.38,9.98,41.17,25.61,28.78
2025-03-16 01:03:37,,,,,
2025-03-16 01:03:37,39.83,10.48,40.74,25.72,29.19
2025-03-16 01:03:38,38.41,9.88,,25.45,24.58
2025-03-16 01:03:39,37.82,9.66,,25.59,24.35
2025-03-16 01:03:40,36.41,9.14,,25.2,23.58
2025-03-16 01:03:41,,,,,
2025-03-16 01:03:41,,,,,
2025-03-16 01:03:41,37.36,8.97,,25.5,23.94
2025-03-16 01:03:42,,,,,
2025-03-16 01:03:42,33.7,8.82,,25.21,22.58
2025-03-16 01:03:43,28.81,7.69,,24.62,20.37
2025-03-16 01:03:44,27.61,7.75,,24.57,19.98
2025-03-16 01:03:45,,,,,
2025-03-16 01:03:45,29.35,8.46,,24.64,20.82
2025-03-16 01:03:46,29.1,8.49,,24.73,20.77
2025-03-16 01:03:47,37.07,9.43,,25.52,24.01
2025-03-16 01:03:49,39.92,9.33,43.26,25.51,29.5
2025-03-16 01:03:50,39.28,9.36,42.47,25.51,29.15
2025-03-16 01:03:51,39.11,8.89,41.98,24.97,28.73
2025-03-16 01:03:51,,,,,
2025-03-16 01:03:52,40.94,9.67,44.2,25.62,30.11
2025-03-16 01:03:53,40.02,9.42,41.25,25.45,29.04
2025-03-16 01:03:54,39.34,9.38,40.72,25.49,28.73
2025-03-16 01:03:55,38.51,9.02,39.1,25.36,28.0
2025-03-16 01:03:55,,,,,
2025-03-16 01:03:56,36.77,8.29,38.14,25.06,27.06
2025-03-16 01:03:57,33.92,7.81,35.02,24.69,25.36
2025-03-16 01:03:57,,,,,
2025-03-16 01:03:58,32.61,8.43,33.66,26.21,25.23
2025-03-16 01:03:59,31.86,7.36,32.43,24.97,24.16
2025-03-16 01:04:00,33.34,8.29,34.32,25.86,25.45
2025-03-16 01:04:01,31.87,10.12,32.9,25.58,25.12
2025-03-16 01:04:01,,,,,
2025-03-16 01:04:02,37.71,11.22,41.97,26.55,29.36
2025-03-16 01:04:02,,,,,
2025-03-16 01:04:03,41.7,10.81,43.42,25.9,30.46
2025-03-16 01:04:04,41.35,9.36,44.71,23.74,29.79
2025-03-16 01:04:05,42.94,10.28,44.25,24.44,30.47
2025-03-16 01:04:06,41.6,10.02,42.94,24.71,29.82
2025-03-16 01:04:07,35.33,9.27,36.45,23.98,26.26
2025-03-16 01:04:08,31.56,8.61,32.68,24.73,24.4
2025-03-16 01:04:09,34.94,8.04,35.65,24.53,25.79
2025-03-16 01:04:10,,,,,
2025-03-16 01:04:10,40.01,9.62,41.1,25.61,29.08
2025-03-16 01:04:11,41.09,9.59,44.31,24.85,29.96
2025-03-16 01:04:12,38.55,8.5,41.42,24.94,28.36
2025-03-16 01:04:12,,,,,
2025-03-16 01:04:13,,,,,
2025-03-16 01:04:13,39.17,9.19,42.15,25.5,29.0
2025-03-16 01:04:14,,,,,
2025-03-16 01:04:14,,,,,
2025-03-16 01:04:14,,,,,
2025-03-16 01:04:14,39.96,8.88,42.89,25.04,29.19
2025-03-16 01:04:15,38.48,8.84,41.61,25.16,28.52
2025-03-16 01:04:16,,,,,
2025-03-16 01:04:16,37.5,8.93,40.93,25.75,28.28
2025-03-16 01:04:17,24.67,3.61,25.74,21.99,19.0
2025-03-16 01:04:18,,,,,
2025-03-16 01:04:18,20.61,3.16,21.58,22.05,16.85
2025-03-16 01:04:19,21.52,3.4,21.81,22.21,17.24
2025-03-16 01:04:21,24.53,3.93,24.91,23.08,19.11
2025-03-16 01:04:21,,,,,
2025-03-16 01:04:22,25.05,4.24,25.79,22.73,19.45
2025-03-16 01:04:23,26.97,4.76,27.78,22.45,20.49
2025-03-16 01:04:24,28.21,5.01,29.3,22.63,21.29
2025-03-16 01:04:25,28.68,4.94,29.68,22.48,21.45
2025-03-16 01:04:26,29.72,5.25,30.97,22.56,22.12
2025-03-16 01:04:27,29.43,5.1,30.3,22.55,21.84
2025-03-16 01:04:27,,,,,
2025-03-16 01:04:28,27.86,4.73,28.9,22.48,20.99
2025-03-16 01:04:29,26.35,4.31,27.38,22.7,20.18
2025-03-16 01:04:30,,,,,
2025-03-16 01:04:30,24.01,3.92,24.05,22.81,18.7
2025-03-16 01:04:30,,,,,
2025-03-16 01:04:30,,,,,
2025-03-16 01:04:31,23.64,3.61,23.76,22.77,18.44
2025-03-16 01:04:32,22.07,2.92,22.5,21.96,17.36
